,title,year,duration,description,genre,country
135,В джазе только девушки,1959,2h 1m,"После того, как два музыканта-мужчины стали свидетелями хита толпы, они бежат от государства в группе, замаскированной как женщины, замаскированной как женщины, но возникают дальнейшие осложнения.","Комедия, музыка, романтика",United States
136,Остров проклятых,2010,2h 18m,"Два американских маршала отправляются в психиатрическое учреждение на негостеприимном острове, чтобы исследовать исчезновение пациента.","Драма, Тайна, Триллер",United States
137,Малыш,1921,1h 8m,"Бродяга заботится о брошенном ребенке, но события подвергают их отношениям их отношения.","Комедия, драма, семья",United States
138,Отец,2020,1h 37m,"Мужчина отказывается от всей помощи от своей дочери, когда он стареет. Когда он пытается понять, что происходит вокруг него, он начинает сомневаться в своих близких, его собственном уме и даже ткани его реальности.","Драма, тайна",United Kingdom
139,Всё о Еве,1950,2h 18m,"Казалось бы, робкая, но тайно безжалостная Инжене вмешается в жизнь стареющей звезды Бродвея и ее круга театральных друзей.",Драма,United States
140,Парк юрского периода,1993,2h 7m,"Промышленник приглашает некоторых экспертов посетить его тематический парк клонированных динозавров. После сбоя сил существа убегают, впадая в опасность, в том числе его внуки.","Действие, приключение, научная фантастика",United States
141,Нефть,2007,2h 38m,"История семьи, религии, ненависти, нефти и безумия, сосредоточенная на разведчике на рубеже веков в первые дни бизнеса.",Драма,United States
142,Казино,1995,2h 58m,"В Лас-Вегасе два лучших друзья-исполнительный директор казино и мафиозный сияющий-скомплектируются империей азартных игр и быстроживущем, быстро любящем светском происхождении.","Преступление, драма",United States
143,Шестое чувство,1999,1h 47m,"После того, как его застрелил бывшим пациентом, которого он не смог помочь, детский психолог из Филадельфии ищет искупления, обращаясь к молодому мальчику с тревожным секретом.","Драма, Тайна, Триллер",United States
144,Ран,1985,2h 40m,"В средневековой Японии пожилой военачальник уходит на пенсию, передавая свою империю своим трем сыновьям. Тем не менее, он значительно недооценивает, как вновь обретенная сила испортит их, и заставит их поворачивать друг друга ... и его.","Действие, драма, война",Japan
145,Топ Ган. Мэверик,2022,2h 10m,"История связана с тем, что Маверик противостоит своему прошлому во время обучения группы молодых выпускников высшего оружия, в том числе сына его покойного лучшего друга, для опасной миссии.","Действие, драма",United States
146,Старикам тут не место,2007,2h 2m,"Насилие и хаос заступают после того, как охотник наткнулся на последствия сделки с наркотиками, и более двух миллионов долларов наличными возле Рио -Гранде.","Преступление, драма, триллер",United States
147,Нечто,1982,1h 49m,"Исследовательская группа в Антарктиде охотится на инопланетянин, изменяющий форму, который предполагает появление своих жертв.","Ужас, тайна, научная фантастика",United States
148,Лабиринт Фавна,2006,1h 58m,"В 1944 году Испания послала девушку жить со своим безжалостным отчимом. Ночью она встречает фею, которая ведет ее к старому фаун. Он говорит ей, что она принцесса, но должна доказать свою королевскую власть, пережив три ужасных задачи.","Драма, фантазия, война",Mexico
149,Непрощенный,1992,2h 10m,"Острый Уэст -Уэст -Ганслингер в отставке неохотно берет на себя последнюю работу, чтобы отомстить за несправедливость с помощью своего старого партнера и более нового преступника, известного просто как ребенок Шофилда.","Драма, западный",United States
150,Игры разума,2001,2h 15m,"Математический гений, Джон Нэш сделал удивительное открытие в начале своей карьеры и стоял на грани международного признания. Но красивый и высокомерный Нэш вскоре оказался в душераздирающем путешествии самопознания.","Биография, драма, тайна",United States
151,Убить Билла. Фильм 1,2003,1h 51m,"Проснувшись от четырехлетней комы, бывший убийца отомстил от команды убийц, которые ее предали.","Действие, преступность, триллер",United States
152,Сокровища Сьерра Мадре,1948,2h 6m,"Два американца в духе, ищущие работу в 1920-х годах Мексики, убедили старого разведчика помочь им добывать золото в горах Сьерра-Мадре.","Приключение, драма, западная",United States
153,Пленницы,2013,2h 33m,"Отчаянный отец берет закон в свои руки после того, как полиция не сможет найти двух похищенных девушек.","Преступление, драма, тайна",United States
154,Телохранитель,1961,1h 50m,"Хитрый Ронин приходит в город, разделенный двумя преступными бандами, и решает сыграть их друг против друга, чтобы освободить город.","Действие, драма, триллер",Japan
155,В поисках Немо,2003,1h 40m,"После того, как его сын запечатлен в Большом Барьерном рифе и доставлен в Сидней, робкая рыба -клоуна отправляется в путешествие, чтобы привести его домой.","Анимация, приключения, комедия",United States
156,Большой побег,1963,2h 52m,"Союзные офицеры в немецком лагере военнопленного во время Второй мировой войны создают смелый план массового побега сотнями своих людей, надеясь вытащить немецкий персонал и ресурсы вдали от боевых операций.","Приключение, драма, триллер",United States
157,Ходячий замок,2004,1h 59m,"Когда неуверенная молодая женщина проклята старым телом злобной ведьмой, ее единственный шанс нарушить заклинание лежит с самодовольным, но небезопасным молодым волшебником и его спутниками в его ноже, ходячий замок.","Анимация, приключения, семья",Japan
158,Монти Пайтон и священный Грааль,1975,1h 31m,"Король Артур и его рыцари круглого стола отправляются в сюрреалистический, малобюджетный поиск Святого Грааля, встречающего много, очень глупые препятствия.","Приключение, комедия, фантазия",United Kingdom
159,Человек-слон,1980,2h 4m,"Викторианский хирург спасает сильно изуродованного человека, которому плохо обращается, когда собираясь на жизнь как урод с боковым шоу. За его чудовищным фасадом обнаружен человек доброты, интеллекта и изысканности.","Биография, драма",United States
160,В случае убийства набирайте «М»,1954,1h 45m,"Лондонский плейбой представляет идеальное убийство его богатой, неверной жены.","Преступление, драма, тайна",United States
161,Унесенные ветром,1939,3h 58m,"Закрытая и манипулятивная южная Белль и рогусский спекулятор сталкиваются с турбулентным романом, когда общество вокруг них рушатся с концом рабства и восстанавливается во время гражданской войны и периодов реконструкции.","Драма, романтика, война",United States
162,Клаус,2019,1h 36m,"Простой акт доброты всегда вызывает другой, даже в замороженном, далеком месте. Когда новый почтальон Смиеренсбурга, Джеспер, подружился с игрушками Клауса, их подарки растают вековую вражду и доставляют сами, полные праздничных традиций.","Анимация, приключения, комедия",Spain
163,Расёмон,1950,1h 28m,"Изнасилование невесты и убийство ее мужа -самураев вспоминаются с точек зрения бандита, невесты, призрака самураев и деревянного штампа.","Преступление, драма, тайна",Japan
164,Китайский квартал,1974,2h 10m,"Частный детектив, нанятый для разоблачения прелюбодея в 1930 -х годах, Лос -Анджелес оказывается в том, что он попал в сеть обмана, коррупции и убийства.","Драма, Тайна, Триллер",United States
165,Тайна в его глазах,2009,2h 9m,"Отставной юрисконсульт пишет роман в надежде найти закрытие для одного из его прошлых неразрешенных дел об убийстве, а также за его неразрешившую любовь к его начальнику - оба из которых все еще преследуют его десятилетия спустя.","Драма, тайна, романтика",Argentina
166,"Карты, деньги, два ствола",1998,1h 47m,"Когда четыре мелких преступника проигрывают сфальсифицированную игру в покер против лондонского короля, он дает им одну неделю, чтобы урегулировать их огромный долг.","Комедия, преступность",United Kingdom
167,«V» значит Вендетта,2005,2h 12m,"В будущем Британском антиутопическом обществе, темный боец ​​свободы, известный только псевдонимом «V», предназначен для свержения тиранического правительства - с помощью молодой женщины.","Действие, драма, научная фантастика",United States
168,Головоломка,2015,1h 35m,"После того, как молодая Райли вырвана из своей жизни на Среднем Западе и переехала в Сан -Франциско, ее эмоции - радость, страх, гнев, отвращение и грусть - конфликт с тем, как лучше всего ориентироваться в новом городе, доме и школе.","Анимация, приключения, комедия",United States
169,"Три билборда на границе Эббинга, Миссури",2017,1h 55m,"Мать лично бросает вызов местным властям раскрыть убийство своей дочери, когда они не могут поймать виновника.","Комедия, преступность, драма",United Kingdom
170,Мост через реку Квай,1957,2h 41m,"Британские военнопленные вынуждены построить железнодорожный мост через реку Кваи для своих японских похитителей в оккупированной Бирме, не зная, что союзные силы планируют смелый набег на коммандос через джунгли, чтобы уничтожить его.","Приключения, драма, война",United Kingdom
171,На игле,1996,1h 33m,"Рентон, глубоко погруженный на сцену наркотиков в Эдинбурге, пытается убрать и выйти, несмотря на очарование наркотиков и влияние друзей.",Драма,United Kingdom
172,Дикий робот,2024,1h 42m,"После кораблекрушения умный робот под названием Роз оказался на необитаемом острове. Чтобы выжить в суровой среде, Роз связывается с животными острова и заботится о детском гусь с сиротом.","Анимация, научная фантастика",United States
173,"Поймай меня, если сможешь",2002,2h 21m,"Еще 17 еще 17, Фрэнк - опытный фальсификатор, который прошел в качестве врача, адвоката и пилота. Агент ФБР Карл становится одержимым отслеживанием мошенника, который только наслаждается преследованием.","Биография, преступность, драма",United States
174,Бешеный бык,1980,2h 9m,"Жизнь боксера Джейка Ламотты, чье насилие и характер, которые привели его к вершине на ринге, разрушила его жизнь вне его.","Биография, драма, спорт",United States
175,Фарго,1996,1h 38m,"Продавец автомобилей Миннесоты Джерри Ландегаард непредубеляется из -за того, что он и его приспешники сражаются и постоянную полицейскую работу довольно беременной Мардж Гандерсон.","Преступление, драма, триллер",United Kingdom
176,Воин,2011,2h 20m,"Младший сын бывшего боксера -алкоголика возвращается домой, где он обучен своим отцом для соревнований в турнире по смешанным боевым искусствам - пути, который ставит бойца на курс столкновения со своим отчужденным старшим братом.","Действие, драма, спорт",United States
177,Гарри Поттер и Дары смерти: Часть II,2011,2h 10m,"По мере того, как битва между силами добра и зла в волшебном мире экранируется, Гарри Поттер приближается к своему последнему противостоянию с Волдемортом.","Приключение, семья, фантазия",United Kingdom
178,Гран Торино,2008,1h 56m,"После того, как подросток хмонга пытается украсть свой ценный Gran Torino 1972 года, недовольный, предвзятый ветеран Корейской войны стремится искупить и мальчика, и его себя.",Драма,Germany
179,Малышка на миллион,2004,2h 12m,"Фрэнки, злоупотребленный старым тренером, неохотно соглашается обучить начинающего боксера Мэгги. Впечатленная ее решимостью и талантом, он помогает ей стать лучшей, и они вскоре составляют тесную связь.","Драма, спорт",United States
180,Мой сосед Тоторо,1988,1h 26m,"Когда две девушки переезжают в страну, чтобы быть рядом с своей больной матерью, у них есть приключения с чудесными лесными духами, которые живут поблизости.","Анимация, комедия, семья",Japan
181,Безумный Макс: Дорога ярости,2015,2h,"В постсапокалиптической пустоши женщина повстанцает против тиранического правителя в поисках своей родины с помощью группы женских заключенных, психотического поклонника и дрифтера по имени Макс.","Действие, приключение, научная фантастика",Australia
182,Бен-Гур,1959,3h 32m,"Еврейский принц предан и отправлен в рабство римским другом в Иерусалиме 1-го века, но вскоре он восстановит свою свободу и вернется за мести.","Приключение, драма",United States
183,Человек-паук: Нет пути домой,2021,2h 28m,"Теперь, когда личность Человека-паука раскрыта, Питер просит доктора Стрэнджа о помощи. Когда заклинание идет неправильно, начинают появляться опасные враги из других миров.","Действие, приключение, фантазия",United States
184,Барри Линдон,1975,3h 5m,Ирландский мошенник выигрывает сердце богатой вдовы и занимает аристократическую должность ее мертвого мужа в Англии 18-го века.,"Приключения, драма, война",United Kingdom
185,Дети небес,1997,1h 29m,"После того, как мальчик теряет пару туфель своей сестры, он отправляется в серию приключений, чтобы найти их. Когда он не может, он пробует новый способ «выиграть» новую пару.","Драма, семья, спорт",Iran
186,Общество мёртвых поэтов,1989,2h 8m,"Учитель Маверика Джон Китинг возвращается в 1959 году в престижную школу-интернат в Новой Англии, где он когда-то был звездным учеником, используя поэзию, чтобы побудить своих учеников к новым высотам самовыражения.","Комедия, драма",United States
187,12 лет рабства,2013,2h 14m,"В антебеллуме Соломон Нортуп, свободный черный человек из северной части штата Нью -Йорк, похищен и продается в рабство.","Биография, драма, история",United Kingdom
188,Перед рассветом,1995,1h 41m,"Молодой мужчина и женщина встречаются в поезде в Европе, и однажды вечером проводят вместе в Вене. К сожалению, оба знают, что это, вероятно, будет их единственной ночью вместе.","Комедия, драма, романтика",United States
189,Бегущий по лезвию,1982,1h 57m,"Бегущий по лезвию должен преследовать и прекратить четыре репликанта, которые украли корабль в космосе и вернулись на Землю, чтобы найти своего создателя.","Действие, драма, научная фантастика",United States
190,Отель «Гранд Будапешт»,2014,1h 39m,"Писатель встречает владельца стареющего отеля высокого класса, который рассказывает ему о его первых годах, когда он служил лобби-мальчиком в славные годы отеля под исключительным консьержем.","Комедия, драма",United States
191,По соображениям совести,2016,2h 19m,"Медик Американской армии Второй мировой войны Десмонд Т. Досс, служащий во время битвы при Окинаве, отказывается убивать людей и становится первым человеком в американской истории, получившей Медаль Чести, не стреляя в выстрел.","Биография, драма, история",United States
192,Исчезнувшая,2014,2h 29m,Муж пропавшей женщины становится главным подозреваемой в ее исчезновении.,"Драма, Тайна, Триллер",United States
193,Воспоминания об убийстве,2003,2h 11m,"В маленькой корейской провинции в 1986 году два детектива борются со случаем того, что многочисленные молодые женщины обнаружили и изнасилованы и убиты неизвестным виновником.","Преступление, драма, тайна",South Korea
194,Рататуй,2007,1h 51m,"Крыса, которая может готовить, составляет необычный союз с молодым кухонным работником в знаменитом парижском ресторане.","Анимация, приключения, комедия",United States
195,Во имя отца,1993,2h 13m,"Принудительное признание ирландского мужчины к И.Р.А. Бомбардировка он не совершил приводит к тюремному заключению и отца. Тем временем британский адвокат борется, чтобы очистить их имена и освободить их.","Биография, преступность, драма",Ireland
196,Корпорация монстров,2001,1h 32m,"Чтобы питать город, монстры должны пугать детей, чтобы они кричали. Тем не менее, дети токсичны для монстров, и после того, как ребенок пережил, два монстра понимают, что вещи могут не быть тем, что они думают.","Анимация, приключения, комедия",United States
197,Золотая лихорадка,1925,1h 35m,"Разведчик отправляется в Клондайк во время золотой лихорадки 1890 -х годов в надежде сделать его состояние, и его поразит девушкой, которую он видит в танцевальном зале.","Приключение, комедия, драма",United States
198,Как приручить дракона,2010,1h 38m,"Несчастный молодой викинг, который стремится охотиться на драконов, становится маловероятным другом самого молодого дракона и узнает, что существует больше для существ, чем он предполагал.","Анимация, действие, приключение",United States
199,Дикие истории,2014,2h 2m,"Шесть коротких рассказов, которые исследуют конечности человеческого поведения с участием людей в страданиях.","Комедия, драма, триллер",Argentina
200,Я все еще здесь,2024,2h 17m,"Женщина вышла замуж за бывшего политика во время военной диктатуры в Бразилии, вынуждена заново изобретать себя и наметить новый курс для своей семьи после насильственного и произвольного акта.","Биография, драма, история",Brazil
201,Шерлок младший,1924,45m,"Кино -проекционист жаждет стать детективом и ставит свои скудные навыки на работу, когда его создает соперник за кражу карманных часов его подруги.","Действие, комедия, романтика",United States
202,Челюсти,1975,2h 4m,"Когда массивная убийственная акула развязывает хаос на пляжном сообществе у Лонг -Айленда, она зависит от местного шерифа, морского биолога и старого моряка, чтобы охотиться на зверя.","Приключение, драма, ужас",United States
203,Мэри и Макс,2009,1h 32m,В 1976 году в Мельбурне одинокая 8-летняя девочка поднимает переписку с маловероятным приятелем по переписке: 44-летний 44-летний житель Нью-Йорка с синдромом Аспергера.,"Анимация, комедия, драма",Australia
204,Охотник на оленей,1978,3h 3m,"Углубленное изучение способов, которыми война во Вьетнаме влияет и нарушает жизнь нескольких друзей в маленьком сталелитейном заводе в Пенсильвании.","Драма, война",United States
205,Паровоз Генерал,1926,1h 18m,"После того, как его отвергли военные Конфедерации, не осознавая, что это произошло из-за его важнейшей гражданской роли, инженер должен в одиночку повторно вернуть свою любимую локомотиву после того, как он был захвачен союзными шпионами и вернуть его через вражеские линии.","Действие, приключение, комедия",United States
206,Ford против Ferrari,2019,2h 32m,"Американский дизайнер автомобилей Кэрролл Шелби и водитель Кен Майлз боятся корпоративное вмешательство и законы физики для строительства революционного гоночного автомобиля для Ford, чтобы победить Ferrari в 24 часа Le Mans в 1966 году.","Действие, биография, драма",United States
207,Плата за страх,1953,2h 36m,"В дряхлевой южноамериканской деревне нанимаются четверо мужчин для перевозки неотложной грузоподъемности нитроглицерина без оборудования, которое сделало бы его безопасным.","Приключение, драма, триллер",France
208,В порту,1954,1h 48m,"Экс-боец, превративший в Нью-Джерси Лонгшореман, изо всех сил пытается противостоять своим коррумпированным боссам Союза, включая своего старшего брата, когда он начинает общаться с скорбящей сестрой одной из жертв синдиката.","Преступление, драма, триллер",United States
209,Мистер Смит едет в Вашингтон,1939,2h 9m,"Наивный молодежный лидер назначается для заполнения вакансии в Сенате США. Его идеалистические планы быстро сталкиваются с коррупцией дома и уловками от своего героя в Вашингтоне, но он пытается выходить вперед, несмотря на нападения на своего характера.","Комедия, драма",United States
210,Земляничная поляна,1957,1h 32m,"Проживая жизнь, отмеченную холодом, стареющий профессор вынужден противостоять пустоте своего существования.","Драма, роман",Sweden
211,Логан,2017,2h 17m,"В будущем, где мутанты почти вымерли, пожилые люди и утомленный Логан ведет тихую жизнь. Но когда Лаура, мутант -ребенок, преследуемый учеными, приходит к нему за помощью, он должен доставить ее в безопасное место.","Действие, драма, научная фантастика",United States
212,Рокки,1976,2h,"Небольшой боксер из Филадельфии получает чрезвычайно редкий шанс сразиться с чемпионом мира в супертяжелом весе, в котором он стремится пройти дистанцию ​​для своего самоуважения.","Драма, спорт",United States
213,Третий человек,1949,1h 44m,"Романист из целлюлозы Холли Мартинс путешествует в тенистую, послевоенную Вену, только чтобы расследовать загадочную смерть старого друга Гарри Лайма.","Драма, кинотеар, загадка",United Kingdom
214,Токийская повесть,1953,2h 17m,"Старая пара посещает их детей и внуков в городе, но уделяет мало внимания.",Драма,Japan
215,Махараджа,2024,2h 21m,"Парикмахер ищет мести после того, как его дом будет ограблен, загадочно рассказывает полиции, что его «Лакшми» был взят, оставив их неопределенными, если это человек или объект. Его стремление восстановить неуловимую ""Лакшми"" разворачивается.","Действие, преступность, драма",India
216,Большой Лебовски,1998,1h 57m,"Джефф ""Чувак"" Лебовски, ошибочный за одноименное миллионера, ищет реституцию за его разрушенный коврик и заполняет своих приятелей для боулинга, чтобы помочь получить его.","Комедия, преступность",United Kingdom
217,В центре внимания,2015,2h 9m,"Истинная история о том, как Бостонский глобус раскрыл массовый скандал с пристанием к ребенку и прикрытию в местной католической архиепархии, встряхивая всю католическую церковь.","Биография, преступность, драма",United States
218,Терминатор,1984,1h 47m,"Киборгский убийца из будущих попыток найти и убить молодую женщину, которой суждено родить воина, который приведет к сопротивлению спасению человечества от исчезновения.","Действие, приключение, научная фантастика",United Kingdom
219,Седьмая печать,1957,1h 36m,"Рыцарь, возвращающийся в Швецию после того, как крестовые походы ищут ответы о жизни, смерти и существовании Бога, когда Он играет в шахмат против мрачного жнеца во время черной чумы.","Драма, фантазия",Sweden
220,Комната,2015,1h 58m,"Маленький мальчик держит в плену в комнате со своей матерью с момента его рождения, поэтому он никогда не знал мир снаружи.","Драма, триллер",Ireland
221,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,2h 23m,"Кузнец будет объединяться с эксцентричным пиратом «капитаном» Джеком Воробей, чтобы спасти Элизабет Суонн, дочь губернатора и его любовь, от бывших пиратских союзников Джека, которые сейчас нежить.","Действие, приключение, фантазия",United States
222,Да прольётся свет,2021,2h 44m,"Когда племенный мужчина арестован по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь принести справедливость.","Преступление, драма",India
223,Ненависть,1995,1h 38m,24 часа в жизни трех молодых людей во французских пригородах на следующий день после жестокого бунта.,"Преступление, драма",France
224,Отель «Руанда»,2004,2h 1m,"Пол Русесабагина, менеджер отеля, размещает более тысячи беженцев тутси во время их борьбы с милицией хуту в Руанде, Африка.","Биография, драма, история",United States
225,Взвод,1986,2h,"Крис Тейлор, новобранец неофит во Вьетнаме, оказывается пойманным в битве завещания между двумя сержантами, одним добром и другом злом. Проницательное исследование жестокости войны и двойственности человека в конфликте.","Драма, война",United States
226,Лучшие годы нашей жизни,1946,2h 50m,"Три ветерана Второй мировой войны, два из которых были травмированы или инвалиды, возвращаются домой на американский Средний Запад, чтобы обнаружить, что они и их семьи были непоправимо изменились.","Драма, романтика, война",United States
227,Перед закатом,2004,1h 20m,"Через девять лет после того, как Джесси и Селин впервые встретились, они снова сталкиваются друг с другом на французском этапе книжного тура Джесси.","Драма, роман",France
228,Изгоняющий дьявола,1973,2h 2m,"Когда таинственная сущность обладает молодой девушкой, ее мать ищет помощи двух католических священников, чтобы спасти ее жизнь.",Ужас,United States
229,Страсти Жанны д'Арк,1928,1h 50m,В 1431 году Жанна Д'Арк предназначена для суда по обвинению в ересь. Церковные юристы пытаются заставить Жанну отречься от ее требований святых видений.,"Биография, драма, история",France
230,Волшебник страны Оз,1939,1h 42m,"Молодая Дороти Гейл и ее собака Тото сметают торнадо с их Канзасской фермы на волшебную страну Оз и отправляются на поиски с тремя новыми друзьями, чтобы увидеть волшебника, который может вернуть ее в дом и выполнить пожелания других.","Приключение, семья, фантазия",United States
231,Звуки музыки,1965,2h 52m,"В 1930 -х годах ее монастырь послал молодой новичок, чтобы стать гувернантой семерыми детьми овдовевшего военно -морского офицера.","Биография, драма, семья",United States
232,Суперсемейка,2004,1h 55m,"Пытаясь вести тихую пригородную жизнь, семья тайных супергероев вынуждена спасти мир.","Анимация, действие, приключение",United States
233,Гонка,2013,2h 3m,"Джеймс Хант и Ники Лауда, два чрезвычайно опытных гонщика Формулы -1, имеют сильное соперничество друг с другом. Тем не менее, именно их вражда толкает их до предела.","Биография, драма, спорт",United Kingdom
234,Хатико: самый верный друг,2009,1h 33m,"Профессор Уилсон обнаруживает потерянного щенка Акиты по дороге домой. Несмотря на возражения со стороны своей жены, Хачи постигает себя семье и становится верным компаньоном Паркера. По мере того, как их связь становится глубже, прекрасные отношения разворачиваются.","Биография, драма, семья",United Kingdom
235,Останься со мной,1986,1h 29m,"Писатель рассказывает о детском путешествии со своими друзьями, чтобы найти тело пропавшего мальчика.","Приключение, комедия, драма",United States
236,Мой отец и мой сын,2005,1h 52m,Семья левого журналиста разрывается после военного переворота Турции в 1980 году.,"Драма, семья",Turkey
237,Телесеть,1976,2h 1m,"Телевизионная сеть цинично использует ненормативные бреды бывшего якоря и откровения о средствах массовой информации для своей собственной прибыли, но обнаруживает, что его сообщение может быть трудно контролировать.",Драма,United States
238,Служанка,2016,2h 25m,"В 1930 -х годах, Корея, девушка нанимается в качестве служанки японской наследнице, которая живет уединенной жизнью в сельской местности. Но у горничной есть секрет: она - карманник, завербованный мошенником, чтобы помочь соблазнить леди и украсть ее состояние.","Драма, роман, триллер",South Korea
239,Стальной гигант,1999,1h 26m,"Молодой мальчик подружился с гигантским роботом из космоса, который хочет уничтожить параноидный правительственный агент.","Анимация, действие, приключение",United States
240,Быть или не быть,1942,1h 39m,Во время немецкой оккупации Польши действующая труппа становится втянутой в усилия польского солдата по отслеживанию немецкого шпиона.,"Комедия, романтика, война",United States
241,Битва за Алжир,1966,2h 1m,"В 1950 -х годах страх и насилие растут, когда народ Алжира борются за независимость со стороны французского правительства.","Драма, война",Italy
242,Гроздья гнева,1940,2h 9m,"Семья штата Оклахома, изгнанная с фермы по бедности и безнадежности пылевой чаши, присоединяется к миграции на запад в Калифорнию, страдая от несчастий бездомных в Великой депрессии.",Драма,United States
243,Форма голоса,2016,2h 10m,"Глухая девушка, Шоко, издевается популярной Шайей. Когда Шоя продолжает запугать Шоко, класс возвращается на него. Шоко переводится, а Shoya растет как изгоя. В одиночку и в депрессии, сожаление Шая находит Шоко, чтобы исправить.","Анимация, драма",Japan
244,В диких условиях,2007,2h 28m,"После окончания Университета Эмори ведущий студент и спортсмен Кристофер МакКандлесс отказывается от своего имущества, придает весь его сберегательный счет в размере 24 000 долларов на благотворительность и автостопные изделия на Аляску, чтобы жить в пустыне.","Приключения, биография, драма",United States
245,День сурка,1993,1h 41m,"Нарциссический, эгоистичный метеоролог оказывается в временной цикле в день сурка.","Комедия, драма, фантазия",United States
246,Прислуга,2011,2h 26m,"Начинающий автор во время движения за гражданские права 1960 -х годов решает написать книгу, в которой подробно описывается точка зрения афроамериканских горничных на белых семьях, для которых они работают, и трудности, которые они проходят ежедневно.",Драма,United States
247,Истребитель демонов: Битва в доме Цудзуми,2021,1h 27m,"Танджиро отправляется на юго-юго-восток, где он сталкивается с трусливым молодым человеком по имени Зенитсу Агацума. Он выживший из окончательного отбора, и его воробей просит Танджиро помочь держать его в очереди.","Анимация, действие, фантазия",Japan
248,Сука любовь,2000,2h 34m,"Любительский боец ​​собаки, супермодель и заброшенная убийца, все они изо всех сил пытаются найти любовь, находят свою жизнь, преобразованную разрушительной автомобильной аварией в Мехико.","Драма, триллер",Mexico
249,Ребекка,1940,2h 10m,Самосознательная женщина жонглирует приспособленной к своей новой роли жены аристократа и избегая запугивания спектрального присутствия его первой жены.,"Драма, тайна, романтика",United States
